ENSGene,Control_1,Control_2,SHSY5Y_1,SHSY5Y_2
ENSG00000050438,579,508,2298,2295
ENSG00000050555,6,1,18,18
ENSG00000050628,6,6,94,93
ENSG00000050730,25,21,2,2
ENSG00000050748,1199,1201,1406,1396
ENSG00000050767,1,2,103,101
ENSG00000050820,5196,5073,1724,1728
ENSG00000051009,732,753,604,604
ENSG00000051108,4087,4121,1246,1249
ENSG00000051128,440,410,163,155
ENSG00000051180,107,108,1139,1134
ENSG00000051341,93,81,1434,1425
ENSG00000051382,409,477,630,632
ENSG00000051523,1769,1709,922,918
ENSG00000051596,195,212,1256,1304
ENSG00000051620,1404,1344,206,205
ENSG00000051825,368,421,1698,1678
ENSG00000052126,2110,2412,578,573
ENSG00000052344,0,0,0,3
ENSG00000052723,578,624,1886,1879
ENSG00000052749,822,784,3401,3354
ENSG00000052795,642,631,542,540
ENSG00000052802,5109,5168,1490,1484
ENSG00000052841,2602,2622,2763,2759
ENSG00000052850,1330,1262,19,19
ENSG00000053108,0,1,65,60
ENSG00000053254,2524,2481,3832,3871
ENSG00000053328,18,9,20,19
ENSG00000053371,1082,1066,888,871
ENSG00000053372,632,547,3398,3348
ENSG00000053438,0,0,0,0
ENSG00000053501,269,246,497,483
ENSG00000053524,9,10,80,77
ENSG00000053702,0,0,0,0
ENSG00000053747,1070,1014,56,57
ENSG00000053770,1060,1187,1686,1691
ENSG00000053900,484,514,956,949
ENSG00000053918,6,4,309,296
ENSG00000054116,1203,1170,1284,1273
ENSG00000054118,5009,4918,7181,7080
ENSG00000054148,1338,1159,2024,2007
ENSG00000054179,2,3,12,13
ENSG00000054219,0,0,0,0
ENSG00000054267,917,1051,2676,2681
ENSG00000054277,109,140,200,198
ENSG00000054282,505,589,1073,1066
ENSG00000054356,93,92,1108,1126
ENSG00000054392,467,429,956,944
ENSG00000054523,2022,2036,6370,6339
ENSG00000054598,854,895,911,882
ENSG00000054611,958,912,827,818
ENSG00000054654,196,196,1991,1977
ENSG00000054690,5,2,281,278
ENSG00000054793,2919,2709,2471,2453
ENSG00000054796,1,0,0,0
ENSG00000054803,0,0,129,129
ENSG00000054938,1,0,3,3
ENSG00000054965,2075,1925,2920,2894
ENSG00000054967,128,121,518,530
ENSG00000054983,641,681,845,851
ENSG00000055044,605,608,3386,3361
ENSG00000055070,0,9,13,14
ENSG00000055118,4,4,8081,7980
ENSG00000055130,2493,2486,4929,4905
ENSG00000055147,482,510,927,914
ENSG00000055163,323,270,2031,1997
ENSG00000055208,2591,2892,2806,2810
