"","C_1","C_2","S_1","S_2"
"SPRY4-AS1",95.0915604662835,81.6213348784328,150.660035101814,160.762738620147
"H3C6",177.156879772802,156.764786036355,75.3300175509069,78.8502956089292
"OLFM3",0,0,238.925510211967,248.799476435942
"IL32",158.920142149131,160.651516268661,86.7436565737716,81.1469061606455
"LNP1",122.44666690179,128.262097666109,117.940936569602,118.65821183868
"ZBED8",74.2495746106597,46.6407627876759,184.140042902217,181.432233585594
"GPR89B",71.6443263787067,80.3257581343307,171.965494611161,162.293812321291
"C3orf52",201.906737976355,182.676320918397,50.9809209687956,50.5254321377604
"SPTBN5",203.209362092332,194.336511615316,43.3718282868858,45.1666741837555
"DENND2D",217.538227368073,257.81977207632,5.32636487733685,5.35875795400489
"GFRA3",0,1.29557674410211,246.534602893877,238.081960527932
"TOGARAM1",139.380780409484,172.31170696558,86.7436565737716,87.2712009652226
"C2orf49-DT",33.8682270153886,47.936339531778,203.923683875182,199.805117999325
"COLQ",195.393617396473,177.494013941989,55.5463765779415,56.6497269423375
"HOXD-AS2",105.512553394095,68.6655674374117,152.942762906387,157.700591217858
"PURPL",217.538227368073,226.725930217869,19.7836409729655,20.6694949654475
"LINC00672",70.3417022627302,66.0744139492075,172.726403879352,174.542401930445
"C2orf16",164.130638613037,134.739981386619,92.8309307192994,91.8644220686553
"NIPSNAP3B",97.6968086982364,106.237293016373,139.246396078949,140.093243654699
"NR6A1",72.9469504946832,41.4584558112675,181.096405829453,187.556528390171
"TICRR",10.4209929278119,11.660190696919,232.077326798249,228.895518321066
"PPP2R2C",3.90787234792946,3.88673023230632,238.164600943776,236.550886826787
"CIAO3",108.117801626048,84.212488366637,145.333670224477,144.686464758132
"ARSG",211.025106788191,239.68169765889,15.9790946320106,15.3107370114426
"ZNF215",227.959220295885,244.864004635298,3.8045463409549,4.59322110343277
"MROH8",164.130638613037,132.148827898415,92.8309307192994,91.8644220686553
"MIR4458HG",63.8285816828478,93.2815255753518,162.83458339287,160.762738620147
"CDK15",260.524823195297,213.770162776848,3.04363707276392,3.06214740228851
"TMEM26",190.183120932567,199.518818591725,45.6545560914587,44.4011373331834
